airline,source_city,stops,destination_city,days_left,price_eur,departure_hour,class_Economy,duration_mins,days_left_group
Air_India,Delhi,1,Kolkata,40.0,72.89,9,1,1185,21-40 días
Vistara,Kolkata,1,Mumbai,42.0,641.57,9,0,589,40+ días
Vistara,Kolkata,1,Bangalore,41.0,61.31,9,1,630,40+ días
Vistara,Chennai,1,Delhi,14.0,595.34,22,0,870,11-20 días
Air_India,Bangalore,1,Mumbai,20.0,65.1,14,1,495,11-20 días
AirAsia,Kolkata,1,Bangalore,5.0,45.08,6,1,649,4-10 días
Vistara,Chennai,0,Mumbai,7.0,235.9,14,0,120,4-10 días
Indigo,Kolkata,1,Bangalore,46.0,38.2,6,1,465,40+ días
Air_India,Mumbai,1,Chennai,44.0,318.95,22,0,1579,40+ días
Vistara,Delhi,1,Kolkata,2.0,760.42,22,0,1210,0-3 días
Vistara,Hyderabad,1,Bangalore,42.0,377.03,22,0,1300,40+ días
Air_India,Bangalore,1,Kolkata,23.0,598.79,22,0,1050,21-40 días
AirAsia,Chennai,2,Delhi,25.0,24.51,9,1,810,21-40 días
SpiceJet,Mumbai,1,Chennai,19.0,71.45,9,1,409,11-20 días
Vistara,Delhi,0,Bangalore,26.0,325.17,14,0,165,21-40 días
Air_India,Mumbai,0,Bangalore,47.0,204.69,18,0,105,40+ días
Vistara,Bangalore,1,Mumbai,26.0,71.37,18,1,844,21-40 días
AirAsia,Bangalore,1,Mumbai,17.0,76.81,9,1,655,11-20 días
Air_India,Mumbai,0,Delhi,33.0,219.1,18,0,135,21-40 días
Vistara,Delhi,2,Kolkata,44.0,103.1,6,1,840,40+ días
Vistara,Bangalore,1,Mumbai,39.0,47.42,6,1,904,21-40 días
Air_India,Mumbai,1,Chennai,20.0,490.97,6,0,990,11-20 días
Air_India,Kolkata,1,Chennai,34.0,49.17,14,1,1770,21-40 días
Vistara,Kolkata,1,Bangalore,49.0,603.44,9,0,514,40+ días
Air_India,Delhi,0,Mumbai,15.0,297.79,6,0,124,11-20 días
GO_FIRST,Delhi,0,Mumbai,39.0,23.85,18,1,135,21-40 días
Vistara,Hyderabad,1,Kolkata,26.0,512.8,22,0,1570,21-40 días
Vistara,Kolkata,2,Bangalore,48.0,76.82,9,1,540,40+ días
SpiceJet,Delhi,0,Mumbai,4.0,58.91,18,1,139,4-10 días
Indigo,Bangalore,1,Hyderabad,9.0,69.48,9,1,574,4-10 días
Vistara,Delhi,1,Kolkata,16.0,593.06,9,0,625,11-20 días
Air_India,Delhi,1,Kolkata,14.0,568.08,6,0,1384,11-20 días
Indigo,Delhi,0,Bangalore,7.0,73.48,6,1,175,4-10 días
Air_India,Delhi,0,Hyderabad,12.0,58.93,22,1,130,11-20 días
GO_FIRST,Hyderabad,1,Delhi,20.0,60.68,9,1,780,11-20 días
Air_India,Mumbai,1,Hyderabad,48.0,30.66,9,1,1495,40+ días
Vistara,Kolkata,1,Mumbai,24.0,696.99,9,0,705,21-40 días
AirAsia,Hyderabad,1,Kolkata,13.0,52.36,14,1,405,11-20 días
Vistara,Hyderabad,1,Kolkata,31.0,512.8,6,0,1605,21-40 días
Vistara,Mumbai,0,Hyderabad,35.0,34.14,9,1,90,21-40 días
Vistara,Delhi,1,Bangalore,22.0,48.45,18,1,769,21-40 días
Indigo,Bangalore,1,Delhi,18.0,39.59,14,1,310,11-20 días
Vistara,Delhi,1,Hyderabad,5.0,97.38,14,1,1050,4-10 días
SpiceJet,Mumbai,1,Kolkata,31.0,57.57,22,1,679,21-40 días
Air_India,Mumbai,1,Delhi,24.0,525.99,18,0,970,21-40 días
Air_India,Bangalore,1,Mumbai,10.0,91.81,22,1,949,4-10 días
AirAsia,Hyderabad,1,Kolkata,21.0,20.35,22,1,649,21-40 días
Vistara,Chennai,1,Delhi,34.0,51.52,14,1,334,21-40 días
Vistara,Mumbai,1,Hyderabad,12.0,88.95,6,1,895,11-20 días
AirAsia,Kolkata,1,Bangalore,18.0,38.22,22,1,765,11-20 días
Air_India,Bangalore,1,Delhi,21.0,420.79,6,0,820,21-40 días
Air_India,Delhi,1,Bangalore,40.0,41.86,18,1,1480,21-40 días
GO_FIRST,Hyderabad,0,Kolkata,15.0,52.37,6,1,109,11-20 días
Air_India,Chennai,1,Mumbai,10.0,229.67,22,1,1420,4-10 días
Air_India,Kolkata,1,Chennai,39.0,49.17,22,1,1350,21-40 días
Vistara,Kolkata,1,Mumbai,3.0,120.83,18,1,985,0-3 días
Indigo,Delhi,1,Bangalore,11.0,96.34,14,1,349,11-20 días
Indigo,Hyderabad,1,Bangalore,15.0,47.86,6,1,544,11-20 días
AirAsia,Chennai,0,Kolkata,11.0,49.91,22,1,145,11-20 días
Air_India,Hyderabad,1,Mumbai,42.0,454.06,22,0,735,40+ días
AirAsia,Bangalore,1,Kolkata,24.0,33.58,18,1,600,21-40 días
Vistara,Chennai,1,Delhi,7.0,114.33,6,1,765,4-10 días
Indigo,Mumbai,1,Hyderabad,6.0,114.92,14,1,510,4-10 días
GO_FIRST,Delhi,1,Chennai,19.0,48.45,18,1,880,11-20 días
Indigo,Delhi,1,Kolkata,7.0,97.58,6,1,345,4-10 días
Vistara,Mumbai,1,Chennai,43.0,635.06,6,0,529,40+ días
Vistara,Hyderabad,1,Mumbai,46.0,532.75,22,0,1360,40+ días
Air_India,Kolkata,1,Hyderabad,2.0,150.07,9,1,1575,0-3 días
Vistara,Kolkata,1,Hyderabad,32.0,516.32,18,0,895,21-40 días
Indigo,Mumbai,1,Hyderabad,39.0,56.68,6,1,205,21-40 días
Air_India,Hyderabad,1,Bangalore,6.0,94.37,18,1,1020,4-10 días
Vistara,Mumbai,1,Chennai,45.0,42.05,14,1,484,40+ días
Vistara,Delhi,1,Mumbai,46.0,526.11,9,0,760,40+ días
Vistara,Mumbai,1,Chennai,8.0,638.38,22,0,670,4-10 días
SpiceJet,Bangalore,0,Mumbai,10.0,51.23,6,1,79,4-10 días
Air_India,Mumbai,1,Bangalore,44.0,64.34,18,1,1110,40+ días
Vistara,Delhi,1,Bangalore,48.0,44.49,9,1,495,40+ días
Vistara,Chennai,1,Kolkata,18.0,167.41,14,1,1864,11-20 días
Indigo,Mumbai,1,Chennai,32.0,18.7,18,1,394,21-40 días
GO_FIRST,Delhi,1,Mumbai,11.0,58.92,14,1,555,11-20 días
Vistara,Mumbai,0,Chennai,46.0,28.7,18,1,124,40+ días
Air_India,Delhi,0,Kolkata,11.0,58.93,22,1,124,11-20 días
Air_India,Chennai,1,Mumbai,28.0,56.8,9,1,765,21-40 días
Air_India,Hyderabad,0,Delhi,13.0,60.69,18,1,135,11-20 días
Vistara,Kolkata,1,Bangalore,18.0,603.44,9,0,745,11-20 días
Vistara,Hyderabad,1,Bangalore,35.0,561.12,22,0,1335,21-40 días
Vistara,Chennai,1,Bangalore,40.0,436.85,14,0,1219,21-40 días
Vistara,Bangalore,1,Mumbai,1.0,787.21,18,0,1579,0-3 días
Indigo,Delhi,1,Hyderabad,33.0,20.76,14,1,454,21-40 días
Vistara,Delhi,0,Mumbai,20.0,341.13,14,0,130,11-20 días
Vistara,Chennai,1,Bangalore,38.0,436.85,22,0,679,21-40 días
Vistara,Bangalore,1,Kolkata,13.0,715.16,18,0,825,11-20 días
Vistara,Kolkata,1,Bangalore,23.0,789.36,14,0,1039,21-40 días
Indigo,Delhi,1,Kolkata,7.0,78.26,6,1,330,4-10 días
Air_India,Chennai,1,Hyderabad,13.0,136.15,6,1,790,11-20 días
Air_India,Mumbai,1,Delhi,29.0,52.14,6,1,904,21-40 días
GO_FIRST,Delhi,1,Chennai,34.0,48.45,14,1,480,21-40 días
Vistara,Chennai,1,Mumbai,25.0,45.89,9,1,675,21-40 días
Indigo,Kolkata,1,Bangalore,16.0,64.22,9,1,670,11-20 días
Vistara,Kolkata,1,Delhi,46.0,63.94,18,1,394,40+ días
Vistara,Chennai,1,Delhi,22.0,51.52,6,1,450,21-40 días
Vistara,Mumbai,0,Chennai,23.0,66.09,9,1,124,21-40 días
Vistara,Mumbai,1,Bangalore,26.0,63.83,6,1,865,21-40 días
AirAsia,Delhi,0,Bangalore,41.0,44.52,9,1,169,40+ días
Air_India,Chennai,1,Kolkata,46.0,548.01,6,0,499,40+ días
Air_India,Bangalore,1,Chennai,47.0,63.77,6,1,1069,40+ días
Air_India,Kolkata,0,Delhi,9.0,64.22,22,1,150,4-10 días
Air_India,Delhi,1,Chennai,34.0,42.07,18,1,1015,21-40 días
SpiceJet,Delhi,1,Bangalore,39.0,35.32,18,1,1384,21-40 días
Air_India,Chennai,1,Kolkata,5.0,548.01,6,0,1819,4-10 días
Air_India,Delhi,1,Mumbai,20.0,66.54,22,1,990,11-20 días
AirAsia,Bangalore,0,Kolkata,45.0,33.58,6,1,150,40+ días
Vistara,Bangalore,1,Hyderabad,12.0,77.32,18,1,769,11-20 días
Air_India,Bangalore,1,Mumbai,35.0,541.15,6,0,904,21-40 días
AirAsia,Mumbai,1,Bangalore,11.0,50.48,14,1,450,11-20 días
Indigo,Delhi,1,Chennai,42.0,39.54,6,1,349,40+ días
Indigo,Bangalore,1,Delhi,22.0,34.84,22,1,349,21-40 días
SpiceJet,Mumbai,1,Kolkata,28.0,58.53,14,1,355,21-40 días
Air_India,Delhi,1,Kolkata,18.0,62.45,18,1,1099,11-20 días
SpiceJet,Chennai,1,Mumbai,38.0,68.58,14,1,1414,21-40 días
Vistara,Bangalore,1,Mumbai,47.0,663.07,18,0,739,40+ días
Air_India,Delhi,1,Chennai,18.0,72.83,6,1,769,11-20 días
Vistara,Bangalore,1,Hyderabad,36.0,61.97,6,1,775,21-40 días
Air_India,Bangalore,1,Mumbai,28.0,288.67,6,0,979,21-40 días
Vistara,Mumbai,1,Delhi,9.0,408.4,6,0,379,4-10 días
Air_India,Kolkata,1,Mumbai,31.0,83.9,22,1,1195,21-40 días
Vistara,Bangalore,1,Delhi,48.0,498.37,18,0,760,40+ días
Vistara,Hyderabad,1,Mumbai,7.0,533.86,6,0,960,4-10 días
Vistara,Bangalore,1,Delhi,2.0,107.36,6,1,1585,0-3 días
Vistara,Chennai,1,Kolkata,39.0,58.75,9,1,720,21-40 días
Indigo,Chennai,1,Mumbai,44.0,18.11,9,1,445,40+ días
Vistara,Kolkata,1,Delhi,45.0,63.94,9,1,460,40+ días
SpiceJet,Delhi,1,Chennai,20.0,41.06,18,1,784,11-20 días
Vistara,Mumbai,1,Kolkata,33.0,713.75,14,0,484,21-40 días
Vistara,Mumbai,1,Delhi,26.0,525.99,14,0,334,21-40 días
Air_India,Bangalore,1,Chennai,31.0,50.94,18,1,2209,21-40 días
Air_India,Mumbai,1,Kolkata,41.0,71.62,9,1,615,40+ días
Vistara,Delhi,1,Bangalore,11.0,564.24,9,0,724,11-20 días
Vistara,Chennai,1,Bangalore,17.0,83.26,22,1,855,11-20 días
Air_India,Delhi,1,Mumbai,43.0,38.15,6,1,1560,40+ días
Indigo,Delhi,1,Chennai,43.0,20.29,9,1,325,40+ días
Vistara,Kolkata,1,Chennai,17.0,128.79,9,1,600,11-20 días
Vistara,Bangalore,1,Mumbai,6.0,110.88,6,1,420,4-10 días
Air_India,Delhi,1,Kolkata,14.0,568.08,14,0,945,11-20 días
