airline,source_city,stops,destination_city,days_left,price_eur,departure_hour,class_Economy,duration_mins
Air_India,Delhi,1,Kolkata,40.0,72.89,9,1,1185
Vistara,Kolkata,1,Mumbai,42.0,641.57,9,0,589
Vistara,Kolkata,1,Bangalore,41.0,61.31,9,1,630
Vistara,Chennai,1,Delhi,14.0,595.34,22,0,870
Air_India,Bangalore,1,Mumbai,20.0,65.1,14,1,495
AirAsia,Kolkata,1,Bangalore,5.0,45.08,6,1,649
Vistara,Chennai,0,Mumbai,7.0,235.9,14,0,120
Indigo,Kolkata,1,Bangalore,46.0,38.2,6,1,465
Air_India,Mumbai,1,Chennai,44.0,318.95,22,0,1579
Vistara,Delhi,1,Kolkata,2.0,760.42,22,0,1210
Vistara,Hyderabad,1,Bangalore,42.0,377.03,22,0,1300
Air_India,Bangalore,1,Kolkata,23.0,598.79,22,0,1050
AirAsia,Chennai,2,Delhi,25.0,24.51,9,1,810
SpiceJet,Mumbai,1,Chennai,19.0,71.45,9,1,409
Vistara,Delhi,0,Bangalore,26.0,325.17,14,0,165
Air_India,Mumbai,0,Bangalore,47.0,204.69,18,0,105
Vistara,Bangalore,1,Mumbai,26.0,71.37,18,1,844
AirAsia,Bangalore,1,Mumbai,17.0,76.81,9,1,655
Air_India,Mumbai,0,Delhi,33.0,219.1,18,0,135
Vistara,Delhi,2,Kolkata,44.0,103.1,6,1,840
Vistara,Bangalore,1,Mumbai,39.0,47.42,6,1,904
Air_India,Mumbai,1,Chennai,20.0,490.97,6,0,990
Air_India,Kolkata,1,Chennai,34.0,49.17,14,1,1770
Vistara,Kolkata,1,Bangalore,49.0,603.44,9,0,514
Air_India,Delhi,0,Mumbai,15.0,297.79,6,0,124
GO_FIRST,Delhi,0,Mumbai,39.0,23.85,18,1,135
Vistara,Hyderabad,1,Kolkata,26.0,512.8,22,0,1570
Vistara,Kolkata,2,Bangalore,48.0,76.82,9,1,540
SpiceJet,Delhi,0,Mumbai,4.0,58.91,18,1,139
Indigo,Bangalore,1,Hyderabad,9.0,69.48,9,1,574
Vistara,Delhi,1,Kolkata,16.0,593.06,9,0,625
Air_India,Delhi,1,Kolkata,14.0,568.08,6,0,1384
Indigo,Delhi,0,Bangalore,7.0,73.48,6,1,175
Air_India,Delhi,0,Hyderabad,12.0,58.93,22,1,130
GO_FIRST,Hyderabad,1,Delhi,20.0,60.68,9,1,780
Air_India,Mumbai,1,Hyderabad,48.0,30.66,9,1,1495
Vistara,Kolkata,1,Mumbai,24.0,696.99,9,0,705
AirAsia,Hyderabad,1,Kolkata,13.0,52.36,14,1,405
Vistara,Hyderabad,1,Kolkata,31.0,512.8,6,0,1605
Vistara,Mumbai,0,Hyderabad,35.0,34.14,9,1,90
Vistara,Delhi,1,Bangalore,22.0,48.45,18,1,769
Indigo,Bangalore,1,Delhi,18.0,39.59,14,1,310
Vistara,Delhi,1,Hyderabad,5.0,97.38,14,1,1050
SpiceJet,Mumbai,1,Kolkata,31.0,57.57,22,1,679
Air_India,Mumbai,1,Delhi,24.0,525.99,18,0,970
Air_India,Bangalore,1,Mumbai,10.0,91.81,22,1,949
AirAsia,Hyderabad,1,Kolkata,21.0,20.35,22,1,649
Vistara,Chennai,1,Delhi,34.0,51.52,14,1,334
Vistara,Mumbai,1,Hyderabad,12.0,88.95,6,1,895
AirAsia,Kolkata,1,Bangalore,18.0,38.22,22,1,765
Air_India,Bangalore,1,Delhi,21.0,420.79,6,0,820
Air_India,Delhi,1,Bangalore,40.0,41.86,18,1,1480
GO_FIRST,Hyderabad,0,Kolkata,15.0,52.37,6,1,109
Air_India,Chennai,1,Mumbai,10.0,229.67,22,1,1420
Air_India,Kolkata,1,Chennai,39.0,49.17,22,1,1350
Vistara,Kolkata,1,Mumbai,3.0,120.83,18,1,985
Indigo,Delhi,1,Bangalore,11.0,96.34,14,1,349
Indigo,Hyderabad,1,Bangalore,15.0,47.86,6,1,544
AirAsia,Chennai,0,Kolkata,11.0,49.91,22,1,145
Air_India,Hyderabad,1,Mumbai,42.0,454.06,22,0,735
AirAsia,Bangalore,1,Kolkata,24.0,33.58,18,1,600
Vistara,Chennai,1,Delhi,7.0,114.33,6,1,765
Indigo,Mumbai,1,Hyderabad,6.0,114.92,14,1,510
GO_FIRST,Delhi,1,Chennai,19.0,48.45,18,1,880
Indigo,Delhi,1,Kolkata,7.0,97.58,6,1,345
Vistara,Mumbai,1,Chennai,43.0,635.06,6,0,529
Vistara,Hyderabad,1,Mumbai,46.0,532.75,22,0,1360
Air_India,Kolkata,1,Hyderabad,2.0,150.07,9,1,1575
Vistara,Kolkata,1,Hyderabad,32.0,516.32,18,0,895
Indigo,Mumbai,1,Hyderabad,39.0,56.68,6,1,205
Air_India,Hyderabad,1,Bangalore,6.0,94.37,18,1,1020
Vistara,Mumbai,1,Chennai,45.0,42.05,14,1,484
Vistara,Delhi,1,Mumbai,46.0,526.11,9,0,760
Vistara,Mumbai,1,Chennai,8.0,638.38,22,0,670
SpiceJet,Bangalore,0,Mumbai,10.0,51.23,6,1,79
Air_India,Mumbai,1,Bangalore,44.0,64.34,18,1,1110
Vistara,Delhi,1,Bangalore,48.0,44.49,9,1,495
Vistara,Chennai,1,Kolkata,18.0,167.41,14,1,1864
Indigo,Mumbai,1,Chennai,32.0,18.7,18,1,394
GO_FIRST,Delhi,1,Mumbai,11.0,58.92,14,1,555
Vistara,Mumbai,0,Chennai,46.0,28.7,18,1,124
Air_India,Delhi,0,Kolkata,11.0,58.93,22,1,124
Air_India,Chennai,1,Mumbai,28.0,56.8,9,1,765
Air_India,Hyderabad,0,Delhi,13.0,60.69,18,1,135
Vistara,Kolkata,1,Bangalore,18.0,603.44,9,0,745
Vistara,Hyderabad,1,Bangalore,35.0,561.12,22,0,1335
Vistara,Chennai,1,Bangalore,40.0,436.85,14,0,1219
Vistara,Bangalore,1,Mumbai,1.0,787.21,18,0,1579
Indigo,Delhi,1,Hyderabad,33.0,20.76,14,1,454
Vistara,Delhi,0,Mumbai,20.0,341.13,14,0,130
Vistara,Chennai,1,Bangalore,38.0,436.85,22,0,679
Vistara,Bangalore,1,Kolkata,13.0,715.16,18,0,825
Vistara,Kolkata,1,Bangalore,23.0,789.36,14,0,1039
Indigo,Delhi,1,Kolkata,7.0,78.26,6,1,330
Air_India,Chennai,1,Hyderabad,13.0,136.15,6,1,790
Air_India,Mumbai,1,Delhi,29.0,52.14,6,1,904
GO_FIRST,Delhi,1,Chennai,34.0,48.45,14,1,480
Vistara,Chennai,1,Mumbai,25.0,45.89,9,1,675
Indigo,Kolkata,1,Bangalore,16.0,64.22,9,1,670
Vistara,Kolkata,1,Delhi,46.0,63.94,18,1,394
Vistara,Chennai,1,Delhi,22.0,51.52,6,1,450
Vistara,Mumbai,0,Chennai,23.0,66.09,9,1,124
Vistara,Mumbai,1,Bangalore,26.0,63.83,6,1,865
AirAsia,Delhi,0,Bangalore,41.0,44.52,9,1,169
Air_India,Chennai,1,Kolkata,46.0,548.01,6,0,499
Air_India,Bangalore,1,Chennai,47.0,63.77,6,1,1069
Air_India,Kolkata,0,Delhi,9.0,64.22,22,1,150
Air_India,Delhi,1,Chennai,34.0,42.07,18,1,1015
SpiceJet,Delhi,1,Bangalore,39.0,35.32,18,1,1384
Air_India,Chennai,1,Kolkata,5.0,548.01,6,0,1819
Air_India,Delhi,1,Mumbai,20.0,66.54,22,1,990
AirAsia,Bangalore,0,Kolkata,45.0,33.58,6,1,150
Vistara,Bangalore,1,Hyderabad,12.0,77.32,18,1,769
Air_India,Bangalore,1,Mumbai,35.0,541.15,6,0,904
AirAsia,Mumbai,1,Bangalore,11.0,50.48,14,1,450
Indigo,Delhi,1,Chennai,42.0,39.54,6,1,349
Indigo,Bangalore,1,Delhi,22.0,34.84,22,1,349
SpiceJet,Mumbai,1,Kolkata,28.0,58.53,14,1,355
Air_India,Delhi,1,Kolkata,18.0,62.45,18,1,1099
SpiceJet,Chennai,1,Mumbai,38.0,68.58,14,1,1414
Vistara,Bangalore,1,Mumbai,47.0,663.07,18,0,739
Air_India,Delhi,1,Chennai,18.0,72.83,6,1,769
Vistara,Bangalore,1,Hyderabad,36.0,61.97,6,1,775
Air_India,Bangalore,1,Mumbai,28.0,288.67,6,0,979
Vistara,Mumbai,1,Delhi,9.0,408.4,6,0,379
Air_India,Kolkata,1,Mumbai,31.0,83.9,22,1,1195
Vistara,Bangalore,1,Delhi,48.0,498.37,18,0,760
Vistara,Hyderabad,1,Mumbai,7.0,533.86,6,0,960
Vistara,Bangalore,1,Delhi,2.0,107.36,6,1,1585
Vistara,Chennai,1,Kolkata,39.0,58.75,9,1,720
Indigo,Chennai,1,Mumbai,44.0,18.11,9,1,445
Vistara,Kolkata,1,Delhi,45.0,63.94,9,1,460
SpiceJet,Delhi,1,Chennai,20.0,41.06,18,1,784
Vistara,Mumbai,1,Kolkata,33.0,713.75,14,0,484
Vistara,Mumbai,1,Delhi,26.0,525.99,14,0,334
Air_India,Bangalore,1,Chennai,31.0,50.94,18,1,2209
Air_India,Mumbai,1,Kolkata,41.0,71.62,9,1,615
Vistara,Delhi,1,Bangalore,11.0,564.24,9,0,724
Vistara,Chennai,1,Bangalore,17.0,83.26,22,1,855
Air_India,Delhi,1,Mumbai,43.0,38.15,6,1,1560
Indigo,Delhi,1,Chennai,43.0,20.29,9,1,325
Vistara,Kolkata,1,Chennai,17.0,128.79,9,1,600
Vistara,Bangalore,1,Mumbai,6.0,110.88,6,1,420
Air_India,Delhi,1,Kolkata,14.0,568.08,14,0,945
Indigo,Delhi,1,Hyderabad,26.0,53.43,6,1,600
Air_India,Chennai,1,Kolkata,4.0,172.52,18,1,1290
Air_India,Delhi,1,Hyderabad,45.0,421.04,9,0,649
Air_India,Mumbai,1,Delhi,4.0,97.26,22,1,765
Vistara,Delhi,1,Hyderabad,38.0,467.26,18,0,904
Air_India,Hyderabad,1,Delhi,49.0,422.8,22,0,1354
Vistara,Kolkata,1,Mumbai,14.0,563.98,6,0,409
Air_India,Delhi,1,Chennai,4.0,114.0,18,1,799
Air_India,Chennai,1,Hyderabad,41.0,38.38,14,1,979
Vistara,Delhi,1,Mumbai,27.0,526.11,9,0,670
Air_India,Delhi,1,Kolkata,37.0,429.25,18,0,889
Vistara,Hyderabad,1,Mumbai,3.0,151.09,6,1,795
GO_FIRST,Mumbai,1,Hyderabad,41.0,38.75,14,1,610
GO_FIRST,Kolkata,1,Mumbai,46.0,54.5,9,1,525
Vistara,Chennai,1,Kolkata,43.0,564.64,18,0,1585
Air_India,Kolkata,1,Mumbai,5.0,175.54,18,1,1504
Vistara,Delhi,1,Mumbai,9.0,526.11,9,0,700
AirAsia,Delhi,1,Kolkata,21.0,24.54,22,1,735
Vistara,Mumbai,1,Chennai,24.0,43.03,22,1,1105
Indigo,Delhi,0,Mumbai,26.0,23.85,6,1,130
GO_FIRST,Mumbai,1,Hyderabad,12.0,42.18,6,1,724
Air_India,Bangalore,2,Mumbai,10.0,118.82,6,1,810
AirAsia,Bangalore,2,Kolkata,4.0,51.22,14,1,619
Air_India,Kolkata,1,Mumbai,19.0,63.02,18,1,790
GO_FIRST,Mumbai,1,Delhi,13.0,58.8,9,1,450
GO_FIRST,Hyderabad,1,Bangalore,32.0,61.91,22,1,619
